Cidade;Escola;SegmentoRespondente;AnoDaAvaliacao;Questao;Resposta;QuantidadeDeRespostas
VICENTINA;EE PADRE JOSÉ DANIEL;Funcionários Administrativos;2018;Sexo;Feminino;13
IVINHEMA;EE REYNALDO MASSI;Professores;2018;Pós-Graduação;Mestrado (Incompleto);4
CHAPADÃO DO SUL;EE JORGE AMADO;Pais ou Responsáveis;2018;Formação;Ensino Médio;37
APARECIDA DO TABOADO;EE FREI VITAL DE GARIBALDI;Professores;2018;Você leciona em;Duas escolas;20
CAMPO GRANDE;EE NICOLAU FRAGELLI;Funcionários Administrativos;2018;Formação;Especialização;1
CAMPO GRANDE;EE DONA CONSUELO MÜLLER;Professores;2018;Graduação;Bacharelado;1
NOVA ALVORADA DO SUL;EE ANTONIO COELHO;Avaliadores externos;2018;Pós-Graduação;Especialização;1
ITAPORÃ;EE ANTÔNIO JOÃO RIBEIRO;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;medico;1
CHAPADÃO DO SUL;EE JORGE AMADO;Funcionários Administrativos;2018;Informe qual função exerce nessa unidade escolar;Agente de recepção e portaria;1
CAMPO GRANDE;EE ELVIRA MATHIAS DE OLIVEIRA;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;auxiliar de enfermagem;1
IVINHEMA;EE SENADOR FILINTO MULLER;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;Agricultor;1
IGUATEMI;EE 8 DE MAIO;Estudantes;2018;Ano escolar;3º ano do Ensino Médio;25
AQUIDAUANA;EE INDÍGENA DE EM PASTOR REGINALDO MIGUEL - HOYENÓ O;Funcionários Administrativos;2018;Exerce esta função;De 1 a 3 anos;1
MARACAJU;EE PADRE CONSTANTINO DE MONTE;Professores;2018;Trabalha nesta escola;Há menos de um ano;2
AQUIDAUANA;EE GERALDO AFONSO GARCIA FERREIRA;Coordenadores Pedagógicos;2018;Formação;Ensino Superior;2
CAMPO GRANDE;EE PROFª HILDA DE SOUZA FERREIRA;Secretários Escolares;2018;Exerce esta função;Há mais de 6 anos;1
ANAURILÂNDIA;EE MARIA JOSÉ;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;do lar;1
DOURADOS;EE INDÍGENA DE EM INT. GUATEKA - MARÇAL DE SOUZA;Avaliadores externos;2018;Formação;Ensino Superior;1
CAMPO GRANDE;CEI JOSÉ EDUARDO MARTINS JALLAD - ZEDU;Funcionários Administrativos;2018;Formação;Especialização;1
ANASTÁCIO;EE MARIA CORRÊA DIAS;Professores;2018;Sexo;Masculino;8
AQUIDAUANA;EE CÂNDIDO MARIANO;Professores;2018;Você se considera;Indígena;5
TRÊS LAGOAS;EE AFONSO PENA;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;agente de merenda;1
APARECIDA DO TABOADO;EE FREI VITAL DE GARIBALDI;Diretores Adjuntos;2018;Idade;46 a 50 anos;1
IGUATEMI;EE 8 DE MAIO;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;administrativo;1
BRASILÂNDIA;EE ADILSON ALVES DA SILVA;Pais ou Responsáveis;2018;Formação;Especialização (Incompleto);2
TRÊS LAGOAS;EE PROFESSOR JOÃO MAGIANO PINTO;Pais ou Responsáveis;2018;Grau de parentesco com o estudante pelo qual você é responsável;Filho(a);272
RIO VERDE DE MATO GROSSO;EE THOMAZ BARBOSA RANGEL;Estudantes;2018;Ano escolar;2º ano do Ensino Médio;76
APARECIDA DO TABOADO;EE ERNESTO RODRIGUES;Estudantes;2018;Ano escolar;2º ano do Ensino Médio;33
PONTA PORÃ;EE MENDES GONÇALVES;Pais ou Responsáveis;2018;Idade;36 a 40 anos;84
CORUMBÁ;EE ROTARY CLUB;Professores;2018;Exerce esta função;De 1 a 3 anos;2
NAVIRAÍ;EE ANTONIO FERNANDES;Professores;2018;Pós-Graduação;Não possui;10
NOVA ANDRADINA;EE AUSTRILIO CAPILÉ CASTRO;Estudantes;2018;Estuda nesta escola;De 1 a 2 anos;8
TRÊS LAGOAS;EE JOSÉ FERREIRA;Pais ou Responsáveis;2018;Idade;41 a 45 anos;13
CAMPO GRANDE;EE DONA CONSUELO MÜLLER;Funcionários Administrativos;2018;Sexo;Masculino;5
CORUMBÁ;EE OCTACÍLIO FAUSTINO DA SILVA;Professores;2018;Formação;Ensino Superior;69
CAMPO GRANDE;EE LUISA VIDAL BORGES DANIEL;Pais ou Responsáveis;2018;Idade;Mais de 50 anos;6
CAMPO GRANDE;EE JOAQUIM MURTINHO;Professores;2018;Graduação;Bacharelado;5
ANAURILÂNDIA;EE MARIA JOSÉ;Diretores Adjuntos;2018;Pós-Graduação;Especialização;1
CAMPO GRANDE;EE WALDEMIR BARROS DA SILVA;Pais ou Responsáveis;2018;Tempo que disponibiliza por dia para estudar com o estudante pelo qual você é responsável;De 1 a 2 horas;37
CAMPO GRANDE;CEEJA - PROFª IGNÊS DE LAMÔNICA GUIMARÃES - MS;Secretários Escolares;2018;Você se considera;Branco;1
APARECIDA DO TABOADO;EE FREI VITAL DE GARIBALDI;Diretores;2018;Sexo;Feminino;1
RIO VERDE DE MATO GROSSO;EE THOMAZ BARBOSA RANGEL;Professores;2018;Idade;31 a 35 anos;11
NAVIRAÍ;EE EURICO GASPAR DUTRA;Estudantes;2018;Possui livros para pesquisa e leitura na sua casa;Não;79
CORUMBÁ;EE DR. JOÃO LEITE DE BARROS;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;autonomo;2
TRÊS LAGOAS;EE EDWARDS CORRÊA E SOUZA;Funcionários Administrativos;2018;Você se considera;Preto;2
CHAPADÃO DO SUL;EE JORGE AMADO;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;doméstica;8
AQUIDAUANA;EE CEL. JOSÉ ALVES RIBEIRO;Pais ou Responsáveis;2018;Formação;Doutorado (Incompleto);1
CAMPO GRANDE;EE RUI BARBOSA;Coordenadores Pedagógicos;2018;Sexo;Masculino;1
TRÊS LAGOAS;EE PROF. LUIZ LOPES DE CARVALHO;Diretores;2018;Idade;Mais de 50 anos;1
TRÊS LAGOAS;EE JOÃO DANTAS FILGUEIRAS;Estudantes;2018;Ano escolar;EJA - Ensino Fundamental;2
TRÊS LAGOAS;EE FERNANDO CORRÊA;Professores;2018;Trabalha nesta escola;Há mais de 6 anos;18
IVINHEMA;EE REYNALDO MASSI;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;auxiliar de adiministrasao;1
AQUIDAUANA;EE INDÍGENA DE EM PASCOAL LEITE DIAS;Pais ou Responsáveis;2018;Idade;Mais de 50 anos;2
CAMPO GRANDE;EE ANTÔNIO DELFINO PEREIRA;Professores;2018;Formação;Ensino Superior;25
CASSILÂNDIA;EE SÃO JOSÉ;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;comerciante;1
ITAQUIRAÍ;EE LEOPOLDO DALMOLIN;Funcionários Administrativos;2018;Idade;Mais de 50 anos;1
DOURADOS;EE PROF. CELSO MULLER DO AMARAL;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;Psicóloga;1
DOURADOS;EE PROF. ALICIO ARAUJO;Pais ou Responsáveis;2018;Formação;Especialização;1
PEDRO GOMES;EE FRANCISCO RIBEIRO SOARES;Pais ou Responsáveis;2018;Formação;Ensino Superior;4
NAVIRAÍ;EE EURICO GASPAR DUTRA;Pais ou Responsáveis;2018;Grau de parentesco com o estudante pelo qual você é responsável;Filho(a);175
CAMPO GRANDE;EE PROF. EMYGDIO CAMPOS WIDAL;Professores;2018;Pós-Graduação;Não possui;5
CAMPO GRANDE;EE PROFª HILDA DE SOUZA FERREIRA;Coordenadores Técnicos;2018;Trabalha nesta escola;Há menos de um ano;1
LADÁRIO;EE 2 DE SETEMBRO;Coordenadores Pedagógicos;2018;Trabalha nesta escola;De 1 a 3 anos;3
DOURADOS;EE ANTÔNIA DA SILVEIRA CAPILÉ;Funcionários Administrativos;2018;Exerce esta função;De 4 a 6 anos;1
ITAQUIRAÍ;EE LEOPOLDO DALMOLIN;Professores;2018;Trabalha nesta escola;Há mais de 6 anos;9
CAMPO GRANDE;EE WALDEMIR BARROS DA SILVA;Professores;2018;Exerce esta função;Há menos de um ano;2
ITAQUIRAÍ;EE LEOPOLDO DALMOLIN;Secretários Escolares;2018;Exerce esta função;Há mais de 6 anos;1
ANGÉLICA;EE DR. JOSÉ MANOEL FONTANILLAS FRAGELLI;Avaliadores externos;2018;Graduação;Licenciatura;1
TERENOS;EE ANTÔNIO NOGUEIRA DA FONSECA;Coordenadores Pedagógicos;2018;Pós-Graduação;Especialização;2
CASSILÂNDIA;EE SÃO JOSÉ;Avaliadores externos;2018;Sexo;Feminino;1
NAVIRAÍ;EE EURICO GASPAR DUTRA;Pais ou Responsáveis;2018;Tempo que o estudante pelo qual você é responsável  estuda nesta escola;Há menos de um ano;38
CAMPO GRANDE;EE MAESTRO FREDERICO LIEBERMANN;Coordenadores Pedagógicos;2018;Trabalha nesta escola;Há mais de 6 anos;1
CAMPO GRANDE;EE ARLINDO DE ANDRADE GOMES;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;Pedagoga;1
IVINHEMA;EE REYNALDO MASSI;Diretores;2018;Trabalha nesta escola;Há mais de 6 anos;1
CAARAPÓ;EE PROF.ª CLEUZA APARECIDA VARGAS GALHARDO;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;empregada;1
DOURADOS;EE ANTÔNIA DA SILVEIRA CAPILÉ;Funcionários Administrativos;2018;Formação;Magistério;1
CAARAPÓ;EE PROF. JOAQUIM ALFREDO SOARES VIANNA;Professores;2018;Você se considera;Branco;29
ITAPORÃ;EE RODRIGUES ALVES;Coordenadores Técnicos;2018;Trabalha nesta escola;De 4 a 6 anos;1
CAMPO GRANDE;EE MANOEL BONIFÁCIO NUNES DA CUNHA;Estudantes;2018;Você se considera;Amarelo;1
CASSILÂNDIA;EE SÃO JOSÉ;Funcionários Administrativos;2018;Você se considera;Preto;1
TRÊS LAGOAS;EE PROF. LUIZ LOPES DE CARVALHO;Funcionários Administrativos;2018;Informe qual função exerce nessa unidade escolar;Agentes de atividades educacionais;1
RIO BRILHANTE;EE PROFESSORA LIGIA TEREZINHA MARTINS;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;ADI;1
CAMPO GRANDE;EE VESPASIANO MARTINS;Funcionários Administrativos;2018;Sexo;Feminino;18
PARANAÍBA;EE JOSÉ GARCIA LEAL;Pais ou Responsáveis;2018;Tempo que o estudante pelo qual você é responsável  estuda nesta escola;De 1 a 2 anos;56
MIRANDA;ESCOLA ESTADUAL INDIGENA CACIQUE VICENTE DE ALMEIDA;Professores;2018;Você leciona em;Duas escolas;4
CAMPO GRANDE;EE PROFª HILDA DE SOUZA FERREIRA;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;Arquiteto;1
CAMPO GRANDE;EE PROFª BRASILINA FERRAZ MANTERO;Professores;2018;Idade;41 a 45 anos;3
TRÊS LAGOAS;EE EDWARDS CORRÊA E SOUZA;Diretores;2018;Trabalha nesta escola;Há mais de 6 anos;1
GLÓRIA DE DOURADOS;EE PROFESSORA EUFROSINA PINTO;Coordenadores Pedagógicos;2018;Exerce esta função;Há mais de 6 anos;1
ANASTÁCIO;EE CARLOS DRUMMOND DE ANDRADE;Coordenadores Técnicos;2018;Trabalha nesta escola;De 4 a 6 anos;1
CAMPO GRANDE;EE PROF. OTAVIANO GONÇALVES DA SILVEIRA JUNIOR;Funcionários Administrativos;2018;Idade;Mais de 50 anos;8
PONTA PORÃ;EE MENDES GONÇALVES;Diretores Adjuntos;2018;Graduação;Licenciatura;1
AQUIDAUANA;EE CEL. JOSÉ ALVES RIBEIRO;Professores;2018;Exerce esta função;De 1 a 3 anos;15
ÁGUA CLARA;EE CHICO MENDES;Estudantes;2018;Estuda nesta escola;De 1 a 2 anos;8
CAMPO GRANDE;EE OLINDA CONCEIÇÃO TEIXEIRA BACHA;Diretores;2018;Pós-Graduação;Especialização;1
CAMPO GRANDE;EE LUISA VIDAL BORGES DANIEL;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;consultor de vendas;1
CAMPO GRANDE;EE MARIA CONSTANÇA BARROS MACHADO;Professores;2018;Idade;Mais de 50 anos;3
MARACAJU;EE MANOEL FERREIRA DE LIMA;Pais ou Responsáveis;2018;Você se considera;Pardo;83
NOVA ALVORADA DO SUL;EE ANTONIO COELHO;Funcionários Administrativos;2018;Formação;Ensino Fundamental;1
ANASTÁCIO;EE DEP. CARLOS SOUZA MEDEIROS;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;comercário;1
PEDRO GOMES;EE FRANCISCO RIBEIRO SOARES;Pais ou Responsáveis;2018;Grau de parentesco com o estudante pelo qual você é responsável;Filho(a);88
CORUMBÁ;EE INDÍGENA JOÃO QUIRINO DE CARVALHO - TOGHOPANÃA;Avaliadores externos;2018;Graduação;Licenciatura;1
CAMPO GRANDE;EE OLINDA CONCEIÇÃO TEIXEIRA BACHA;Professores;2018;Pós-Graduação;Especialização;33
NAVIRAÍ;EE VINÍCIUS DE MORAES;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;Policial Militar;2
CAMPO GRANDE;EE MAESTRO FREDERICO LIEBERMANN;Pais ou Responsáveis;2018;Você se considera;Preto;14
COSTA RICA;EE JOSÉ FERREIRA DA COSTA;Funcionários Administrativos;2018;Exerce esta função;De 1 a 3 anos;1
TRÊS LAGOAS;EE PROFESSOR JOÃO MAGIANO PINTO;Coordenadores Técnicos;2018;Idade;31 a 35 anos;1
NOVA ANDRADINA;EE PROFESSORA FÁTIMA GAIOTTO SAMPAIO;Professores;2018;Você se considera;Amarelo;1
BONITO;EE BONIFÁCIO CAMARGO GOMES;Estudantes;2018;Idade;Mais de 30 anos;3
CAMPO GRANDE;EE DONA CONSUELO MÜLLER;Coordenadores Técnicos;2018;Sexo;Masculino;1
IGUATEMI;EE PAULO FREIRE;Pais ou Responsáveis;2018;Idade;31 a 35 anos;12
ANASTÁCIO;EE ROBERTO SCAFF;Diretores Adjuntos;2018;Idade;41 a 45 anos;1
ITAQUIRAÍ;EE LEOPOLDO DALMOLIN;Pais ou Responsáveis;2018;Você se considera;Preto;6
CAMPO GRANDE;EE JOÃO CARLOS FLORES;Pais ou Responsáveis;2018;Idade;36 a 40 anos;7
CAMPO GRANDE;EE PADRE FRANCO DELPIANO;Pais ou Responsáveis;2018;Tempo que o estudante pelo qual você é responsável  estuda nesta escola;De 6 a 8 anos;11
AQUIDAUANA;EE INDÍGENA DE EM PASCOAL LEITE DIAS;Pais ou Responsáveis;2018;Formação;Ensino Fundamental (Incompleto);4
CAMPO GRANDE;EE JOÃO CARLOS FLORES;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;costureira;1
INOCÊNCIA;EE  PROF. JOÃO PEREIRA VALIM;Professores;2018;Licenciatura;Matemática;8
TRÊS LAGOAS;EE PADRE JOÃO TOMES;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;não especificada;1
DOURADOS;EE PRES. TANCREDO NEVES;Secretários Escolares;2018;Sexo;Masculino;1
CAARAPÓ;EE PROF.ª CLEUZA APARECIDA VARGAS GALHARDO;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;Esteticista;1
DOURADOS;EE PROF. CELSO MULLER DO AMARAL;Funcionários Administrativos;2018;Informe qual função exerce nessa unidade escolar;Agentes de atividades educacionais;1
MARACAJU;EE PADRE CONSTANTINO DE MONTE;Avaliadores externos;2018;Pós-Graduação;Especialização (Incompleto);1
APARECIDA DO TABOADO;EE FREI VITAL DE GARIBALDI;Funcionários Administrativos;2018;Informe qual função exerce nessa unidade escolar;Agentes de atividades educacionais;1
DOURADOS;EE PRES. TANCREDO NEVES;Diretores;2018;Licenciatura;Matemática;1
CASSILÂNDIA;EE SÃO JOSÉ;Pais ou Responsáveis;2018;Idade;25 a 30 anos;12
SIDROLÂNDIA;EE PROFESSORA CATARINA DE ABREU;Professores;2018;Pós-Graduação;Mestrado;1
NOVA ANDRADINA;EEPROFª NAIR PALÁCIO DE SOUZA;Estudantes;2018;Estuda nesta escola;De 1 a 2 anos;86
CAARAPÓ;EE PROF. JOAQUIM ALFREDO SOARES VIANNA;Estudantes;2018;Estuda nesta escola;De 6 a 8 anos;26
CAMPO GRANDE;EE RUI BARBOSA;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;servidora publica;3
CAMPO GRANDE;EE PROF. EMYGDIO CAMPOS WIDAL;Estudantes;2018;Você se considera;Branco;52
CAMPO GRANDE;EE PROFª. ÉLIA FRANÇA CARDOSO;Pais ou Responsáveis;2018;Idade;36 a 40 anos;63
DOURADOS;EE PROFª FLORIANA LOPES;Professores;2018;Exerce esta função;De 4 a 6 anos;8
MUNDO NOVO;EE PROFESSORA IOLANDA ALLY;Estudantes;2018;Sexo;Feminino;87
DOURADOS;EE PRES. TANCREDO NEVES;Coordenadores Pedagógicos;2018;Idade;36 a 40 anos;1
TRÊS LAGOAS;EE FERNANDO CORRÊA;Secretários Escolares;2018;Trabalha nesta escola;Há mais de 6 anos;1
TRÊS LAGOAS;EE AFONSO PENA;Estudantes;2018;Você se considera;Preto;34
CAMPO GRANDE;EE VESPASIANO MARTINS;Estudantes;2018;Escolheu este curso da Educação Profissional;Para aperfeiçoamento profissional;1
CAMPO GRANDE;EE ARLINDO DE ANDRADE GOMES;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;Assistente Social;1
VICENTINA;EE PADRE JOSÉ DANIEL;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;ajudante de pedreiro;1
DOURADOS;EE MENODORA FIALHO DE FIGUEIREDO;Professores;2018;Trabalha nesta escola;De 4 a 6 anos;13
CAMPO GRANDE;EE ELVIRA MATHIAS DE OLIVEIRA;Estudantes;2018;Ano escolar;2º ano do Ensino Médio;7
CASSILÂNDIA;EE HERMELINA BARBOSA LEAL;Pais ou Responsáveis;2018;Formação;Ensino Médio;27
DOURADOS;EE PRES. TANCREDO NEVES;Funcionários Administrativos;2018;Sexo;Feminino;19
MIRANDA;ESCOLA ESTADUAL INDIGENA CACIQUE VICENTE DE ALMEIDA;Professores;2018;Pós-Graduação;Especialização (Incompleto);1
PARANAÍBA;EE DR. ERMÍRIO LEAL GARCIA;Pais ou Responsáveis;2018;Grau de parentesco com o estudante pelo qual você é responsável;Neto(a);11
CASSILÂNDIA;EE HERMELINA BARBOSA LEAL;Pais ou Responsáveis;2018;Idade;36 a 40 anos;20
NOVA ALVORADA DO SUL;EE ANTONIO COELHO;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;Contador;1
CAMPO GRANDE;EE LUISA VIDAL BORGES DANIEL;Pais ou Responsáveis;2018;Tempo que disponibiliza por dia para estudar com o estudante pelo qual você é responsável;De 1 a 2 horas;33
APARECIDA DO TABOADO;EE FREI VITAL DE GARIBALDI;Professores;2018;Idade;25 a 30 anos;13
CAMPO GRANDE;EE PROFª. ÉLIA FRANÇA CARDOSO;Avaliadores externos;2018;Formação;Ensino Superior;1
MUNDO NOVO;EE PROFESSORA IOLANDA ALLY;Coordenadores Pedagógicos;2018;Você se considera;Branco;2
TRÊS LAGOAS;EE JOSÉ FERREIRA;Diretores;2018;Idade;Mais de 50 anos;1
AQUIDAUANA;EE INDÍGENA DE EM PROF. DOMINGOS VERÍSSIMO MARCOS - MÍHIN;Avaliadores externos;2018;Idade;41 a 45 anos;1
DOURADOS;EE PROF. ALICIO ARAUJO;Pais ou Responsáveis;2018;Você se considera;Preto;12
TRÊS LAGOAS;EE PROFESSOR JOÃO MAGIANO PINTO;Pais ou Responsáveis;2018;Formação;Doutorado (Incompleto);1
ANGÉLICA;EE SENADOR FILINTO MULLER;Avaliadores externos;2018;Graduação;Licenciatura;1
CAMPO GRANDE;EE PÓLO PROFª. REGINA LÚCIA ANFFE NUNES BETINE;Funcionários Administrativos;2018;Formação;Ensino Médio;1
DOURADOS;EE PASTOR DANIEL BERG;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;PROFESSORA;3
DOURADOS;EE CASTRO ALVES;Coordenadores Pedagógicos;2018;Trabalha nesta escola;De 4 a 6 anos;1
LADÁRIO;EE 2 DE SETEMBRO;Estudantes;2018;Você se considera;Branco;75
ITAPORÃ;EE ANTÔNIO JOÃO RIBEIRO;Estudantes;2018;Estuda nesta escola;De 2 a 4 anos;76
GLÓRIA DE DOURADOS;EE HILDA BERGO DUARTE;Professores;2018;Exerce esta função;De 4 a 6 anos;2
CAMPO GRANDE;EE DOLOR FERREIRA DE ANDRADE;Estudantes;2018;Idade;16 a 20 anos;106
DOURADOS;EE JOAQUIM VAZ DE OLIVEIRA;Pais ou Responsáveis;2018;Tempo que o estudante pelo qual você é responsável  estuda nesta escola;Há menos de um ano;17
DOURADOS;EE RAMONA DA SILVA PEDROSO;Pais ou Responsáveis;2018;Idade;31 a 35 anos;40
CAMPO GRANDE;EE CORAÇÃO DE MARIA;Pais ou Responsáveis;2018;Formação;Ensino Médio (Incompleto);14
APARECIDA DO TABOADO;EE ERNESTO RODRIGUES;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;escriturária;4
CAMPO GRANDE;EE MAESTRO FREDERICO LIEBERMANN;Diretores;2018;Pós-Graduação;Especialização;1
DOIS IRMÃOS DO BURITI;EE ESTEFANA CENTURION GAMBARRA;Diretores;2018;Exerce esta função;Há mais de 6 anos;1
TRÊS LAGOAS;EE JOSÉ FERREIRA;Estudantes;2018;Idade;16 a 20 anos;9
IGUATEMI;EE 8 DE MAIO;Pais ou Responsáveis;2018;Formação;Ensino Fundamental (Incompleto);31
INOCÊNCIA;EE  PROF. JOÃO PEREIRA VALIM;Funcionários Administrativos;2018;Exerce esta função;Há mais de 6 anos;10
DOURADOS;EE PROF. ALICIO ARAUJO;Avaliadores externos;2018;Você se considera;Pardo;1
CAMPO GRANDE;CEEJA - PROFª IGNÊS DE LAMÔNICA GUIMARÃES - MS;Avaliadores externos;2018;Exerce esta função;Há mais de 6 anos;1
TRÊS LAGOAS;EE EDWARDS CORRÊA E SOUZA;Pais ou Responsáveis;2018;Tempo que disponibiliza por dia para estudar com o estudante pelo qual você é responsável;De 2 a 3 horas;23
AQUIDAUANA;EE INDÍGENA DE EM PASCOAL LEITE DIAS;Avaliadores externos;2018;Pós-Graduação;Especialização;1
RIO BRILHANTE;EE FERNANDO CORRÊA DA COSTA;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;financeira;2
DOURADOS;EE MIN. JOÃO PAULO DOS REIS VELOSO;Funcionários Administrativos;2018;Informe qual função exerce nessa unidade escolar;Agente de limpeza;12
MARACAJU;EE CORONEL LIMA DE FIGUEIREDO;Funcionários Administrativos;2018;Exerce esta função;De 1 a 3 anos;5
CAMPO GRANDE;EE PROFª. CLARINDA MENDES DE AQUINO;Coordenadores Pedagógicos;2018;Você se considera;Pardo;1
TRÊS LAGOAS;EE FERNANDO CORRÊA;Professores;2018;Licenciatura;Matemática;6
MARACAJU;EE MANOEL FERREIRA DE LIMA;Pais ou Responsáveis;2018;Sexo;Masculino;60
ANGÉLICA;EE DR. JOSÉ MANOEL FONTANILLAS FRAGELLI;Professores;2018;Formação;Ensino Superior;24
ALCINÓPOLIS;EE PROFª ROMILDA COSTA CARNEIRO;Avaliadores externos;2018;Informe sua regional;CRE-04 - Coxim;1
TRÊS LAGOAS;EE AFONSO PENA;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;aux faturamento;1
DOIS IRMÃOS DO BURITI;EE ESTEFANA CENTURION GAMBARRA;Professores;2018;Pós-Graduação;Mestrado;1
CAMPO GRANDE;EE PROF. OTAVIANO GONÇALVES DA SILVEIRA JUNIOR;Pais ou Responsáveis;2018;Formação;Especialização (Incompleto);1
TERENOS;EE ANTÔNIO NOGUEIRA DA FONSECA;Funcionários Administrativos;2018;Formação;Ensino Superior;3
DOURADOS;EE PROF. CELSO MULLER DO AMARAL;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;Telefonista;1
PARANAÍBA;EE JOSÉ GARCIA LEAL;Pais ou Responsáveis;2018;Formação;Ensino Médio (Incompleto);40
IVINHEMA;EE ANGELINA JAIME TEBET;Pais ou Responsáveis;2018;Formação;Ensino Superior;6
VICENTINA;EE PADRE JOSÉ DANIEL;Professores;2018;Você se considera;Branco;13
DOURADOS;EE PRES. TANCREDO NEVES;Professores;2018;Graduação;Bacharelado;2
CAMPO GRANDE;EE LUISA VIDAL BORGES DANIEL;Pais ou Responsáveis;2018;Idade;41 a 45 anos;8
SÃO GABRIEL DO OESTE;EE SÃO GABRIEL;Coordenadores Pedagógicos;2018;Idade;31 a 35 anos;1
CAMPO GRANDE;EE PROFª. ÉLIA FRANÇA CARDOSO;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;jardineiro;1
GLÓRIA DE DOURADOS;EE PROFESSORA EUFROSINA PINTO;Coordenadores Pedagógicos;2018;Licenciatura;Matemática;1
DOURADOS;EE VILMAR VIEIRA MATOS;Funcionários Administrativos;2018;Idade;41 a 45 anos;3
CAMPO GRANDE;EE PROFª HILDA DE SOUZA FERREIRA;Secretários Escolares;2018;Trabalha nesta escola;De 4 a 6 anos;1
ÁGUA CLARA;EE CHICO MENDES;Professores;2018;Licenciatura;Pedagogia;14
DOURADOS;CEEJA DE DOURADOS/ MS;Coordenadores Pedagógicos;2018;Licenciatura;Ciências Biológicas;1
CAMPO GRANDE;EE LINO VILLACHA;Professores;2018;Idade;25 a 30 anos;8
CASSILÂNDIA;EE SÃO JOSÉ;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;operador de caldeiras e mecanico;1
AQUIDAUANA;EE CÂNDIDO MARIANO;Diretores;2018;Idade;46 a 50 anos;1
TRÊS LAGOAS;EE PADRE JOÃO TOMES;Professores;2018;Licenciatura;Pedagogia;1
AQUIDAUANA;EE INDÍGENA DE EM PROF. DOMINGOS VERÍSSIMO MARCOS - MÍHIN;Professores;2018;Licenciatura;História;2
CAMPO GRANDE;EE MANOEL BONIFÁCIO NUNES DA CUNHA;Coordenadores Pedagógicos;2018;Formação;Ensino Superior;1
SELVÍRIA;EE ANA MARIA DE SOUZA;Secretários Escolares;2018;Você se considera;Branco;1
NOVA ALVORADA DO SUL;EE ANTONIO COELHO;Coordenadores Pedagógicos;2018;Formação;Ensino Superior;3
DOURADOS;EE RITA ANGELINA BARBOSA SILVEIRA;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;encanador;1
PARANAÍBA;EE MANOEL GARCIA LEAL;Professores;2018;Você leciona em;Uma escola;14
NOVA ANDRADINA;EE AUSTRILIO CAPILÉ CASTRO;Professores;2018;Exerce esta função;De 1 a 3 anos;4
CAMPO GRANDE;EE MAESTRO FREDERICO LIEBERMANN;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;pensionista;1
RIO VERDE DE MATO GROSSO;EE THOMAZ BARBOSA RANGEL;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;Operador de motoserra;1
CAMPO GRANDE;CEEJA - PROFª IGNÊS DE LAMÔNICA GUIMARÃES - MS;Professores;2018;Licenciatura;Pedagogia;2
APARECIDA DO TABOADO;EE ERNESTO RODRIGUES;Estudantes;2018;Você se considera;Amarelo;9
DOURADOS;EE MENODORA FIALHO DE FIGUEIREDO;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;administração;1
TRÊS LAGOAS;EE JOÃO PONCE DE ARRUDA;Professores;2018;Licenciatura;Artes;2
CAMPO GRANDE;EE PROFª. CLARINDA MENDES DE AQUINO;Coordenadores Pedagógicos;2018;Sexo;Feminino;3
CAMPO GRANDE;EE ARLINDO DE ANDRADE GOMES;Funcionários Administrativos;2018;Informe qual função exerce nessa unidade escolar;Assistente de Atividades Educacionais;3
NAVIRAÍ;EE VINÍCIUS DE MORAES;Estudantes;2018;Idade;11 a 15 anos;128
